Column1,Column2
observacion,califcacion
El señor conductor llegó con un acompañante y no cumplió con el servicio,N
Nada,NEU
Hhug,NEU
Actitud desagradable,N
Nunca llegó ,N
Cancelo la carrera :/,N
Ya no necesitaba,NEU
Nunca llego Nunca llegó,N
Viaje agradable,P
nunca llego y lo espere más tiempo ,N
Yo me tarde. Lo siento,NEU
cancelación de pedido,N
Nunca llegó,N
Canceló solicitud,N
Servicio de llamadas,N
Puntualidad,N
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P
Excelente servicio ,P
Ok,P
Q paso?,NEU
Bolivar bailón y Ramón burneo,NEU
no llego la unidad en el tiempo ,N
No llego,N
Me llamo porq me quiere cobrar 4$ desde la Lorena hasta la rio Zamora.. Por la Cava.. Fatal,N
Nunca llegó,N
Nqbwbbe ,NEU
Esperando,N
Llegomotro,NEU
Me equivoqué de dirección,NEU
Esperándolo y nada,N
Disculpe ya salio ,NEU
No quería poner taxímetro Actitud desagradable,N
"Mal estado de vehículo, Uso teléfono hablo/chat",N
Muy bien ,P
Puntualidad,NEU
Amigo no se malito no me cancele,N
Mala atención,N
cobro muy caro abusivamente,N
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P
Malo ,N
Ok,P
Atento y cordial,P
No llego ,N
Servicio de llamadas,NEU
Cancelar,N
Excelente,P
Viaje agradable,P
Venga,NEU
Canceló solicitud,N
Bueno ,P
Pésimo servicio esperando y me cancela,N
Buen trato,P
Atento y cordial,P
No pude llegar,NEU
Eso es una falta de respeto,N
Cancelo,N
Atento y cordial,P
Mal la direccion,NEU
Actitud desagradable,N
Nunca llego ,N
NonllegoNunca llegó,N
no llego pronto ,N
Viaje agradable,P
Gracias,P
no llego a su destino ,N
Canceló solicitud,N
"Mal trato al pasajero , exceso de velocidad ,abusivo para cobrar , cobra demás de lo que es",N
Buena ,P
Atento y cordial,P
Ya no lo necesito,NEU
"Atento y cordial, Viaje agradable, Puntualidad",P
"Puntualidad, Atento y cordial, Viaje agradable",P
"Atento y cordial, Viaje agradable, Puntualidad",P
Atento y cordial,P
Atento y cordial,P
No llegó,N
"Atento y cordial, Viaje agradable, Puntualidad",P
ya no saldré,NEU
no deseamos,NEU
Mal,N
Atento y cordial,P
"Atento y cordial, Viaje agradable, Puntualidad",P
Excelente ,P
Puntualidad,NEU
Nunca llegó,P
Puntualidad,NEU
Tiempo mas de 8 minutos. Esperé pero nadie llegó. Tuve que coquer otro taxi que pasava alli vacio. Servicio pesimo. Aplicacion complicada de usar. Prefiero llamar con telefono.,N
 no llego al lugar ,N
Pésimo servicio,N
Nunca llegó,N
Viaje agradable,P
Ya no necesito gracias,NEU
Atento y cordial,P
"El cliente, ya no desea. ",NEU
😤,N
No se ubica en la dirección,N
No valeCanceló solicitud,N
HP,N
Llevó otro cliente,N
Evitar el claxon,N
Urgencia,NEU
tiempo de espera ,NEU
le llamamos varia veces no contestoLlevó otro cliente,N
Atento y cordial,P
No hizo nada ,N
Nunca llegó,N
"Atento y cordial, Viaje agradable",P
Se demora mucho,N
Puntualidad,NEU
Presentación personal,NEU
Puntualidad,NEU
"Canceló solicitud, Nunca llegó",N
Nunca llegó,N
L ,NEU
Excelente  ,P
Atento y cordial,P
Ok ,P
Nunca llegó,NEU
Estaba lejos de la ubicación  ,N
BuenoAtento y cordial,N
GPS mal,N
Servicio de llamadas,NEU
Se apagó el celular,NEU
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P
Llevó otro cliente,N
Mal servicio,N
Bien  ,P
Muchas gracias por su comprension,P
Oteo,NEU
No llego,N
Mal servicio,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Puntualidad,NEU
No es la direccion,N
Ok ,P
"Atento y cordial, Viaje agradable, Puntualidad",P
las calles fueron dadas por error,NEU
Ya pedimos otro taxi,NEU
"Viaje agradable, Puntualidad",P
Muy buena  ,P
Si no va a venir para que ofre e,N
Cancelada por Call Center.,N
Gracias ,P
Hsjeje,NEU
Puntualidad,NEU
Nunca llegó,N
Viaje agradable,P
Viaje agradable,P
Actitud desagradable,N
No cumplió,N
Pero lo estoy esperando,N
Servicio de llamadas,NEU
Nunca llegó,N
Cancelada por Call Center.,N
Ninguno ,NEU
Actitud desagradable,N
No seda,N
Puntualidad,NEU
Buen servicio,P
Pésima Canceló solicitud,N
Acepta la carrera pero al llegar al redondel coge otra carrera y se retira eso no está bien si no va a cumplir qué no acepte la carrera ,N
Puntualidad,NEU
Muy malo ,N
Eramos 4 personas y nos quizo llevar ,N
Lllame y no contestó Nunca llegó,N
no llego.....,N
Pésimo servicio,N
Cancela sin motivo,N
"Atento y cordial, Viaje agradable, Puntualidad, Servicio de llamadas",P
Puntual ,NEU
Esta en otra ruta. ,N
No llegoNunca llegó,N
Se molesta porque no se orienta en la ubicación,N
Pésimo servicio  acepta para luego cancelar,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Nunca ñlego,N
Me equivoque de función necesitaba deliver,NEU
Puntualidad,NEU
Nunca llegó,N
Nunca llego mal servicio,N
"En la cayambeAtento y cordial, Viaje agradable",P
No llegó,N
Nunca llegó,N
Llevó otro cliente,N
Haces perder tiempo,N
Mal pésimo no lo recomiendo  ,N
Nunca llegó,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Pendejos no hagan perder el tiempo,N
Pésimo servicio,N
Nunca llegó,N
Atento y cordial,P
Actitud desagradable,N
Mal conductor,N
El gps de la aplicación esta fallando ,NEU
Nunca llegó,N
"Muy buen profesional, gracias.",P
Bien,P
Muy  bien,P
Puntualidad,NEU
Atento y cordial,P
No,NEU
Canceló el pedido,N
N9 me quiso hacer la carrera,N
No sabe ma dirección Nunca llegó,N
Ya llegó otra unidad disculpe,NEU
Nunca llego,N
Puntualidad,NEU
Nunca llegó,N
Atento y cordial,P
Nunca llegó,N
me vinieron a recoger ,NEU
Ya no deseo mil disculpas,NEU
otro motivo ,NEU
ehehdhejsjdjdjdjdjdjd,NEU
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P
"ExcelenteAtento y cordial, Puntualidad, Viaje agradable",P
Puntualidad,NEU
No quiero taxi,N
"literalmente 1 hora esperando bajo la lluvia, nunca vino y se hizo el loco, pésimo servicio.",N
no llegó no monopolio,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Ubicación equivocado,NEU
toque de queda,NEU
Servicio de llamadas,NEU
Cancelo,N
Uuuyyu,NEU
Mal servicio,N
Disculpa ,NEU
Pésimo servicio,N
Puntualidad,NEU
Acepto pero nunca llego,P
No llego,N
Se apagó mi celular,NEU
Puntualidad,NEU
Ni llego el taxi ,N
El señor taxista comentó que le salió mal la ubicación,N
Pesimo,N
Atento y cordial,P
Canceló solicitud,N
En el tarifario desde la pasos kanki y hualparrimachi hasta el IC norte de la Melchor salio que la carrera tenia un costo de 53 bs,N
"Actitud desagradable, Nunca llegó",N
Excelente,P
Llevó otro cliente,N
Nunca llegó,N
"Atento y cordial, Puntualidad",P
Direccion incorrecta,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Gracias,P
Atento y cordial,P
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P
Excelente servicio,P
Muy atento Puntualidad,P
"Atento y cordial, Puntualidad",P
"Atento y cordial, Viaje agradable, Puntualidad",P
Atento y cordial,P
me equivoqué de ubicación ,NEU
No yega,N
cancelada,N
Puntualidad,NEU
Me subi en el taxi equivocado ,NEU
No acepte si no va a venir,N
Nsndjdjfjfjfjf,NEU
Puntualidad,NEU
Muy lejos,N
se canceló la salida ,NEU
Disculpe ya no Atento y cordial,NEU
Nunca llegó,N
buen servicio ,P
Atento y cordial,P
no está actualizado ,NEU
Jdjd,NEU
No llego,N
Puntualidad,NEU
Servicio de llamadas,NEU
 No nos quiso llevar Actitud desagradable,N
"Atento y cordial, Viaje agradable, Puntualidad",P
No llego,N
"Me dijeron 2 minutos, espere 5 y nunca llego ni me llamó Nunca llegó",N
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P
Nunca llegó,N
Atento y cordial,P
Viaje agradable,P
Nunca llegó,N
Nos rayamos con la hora,NEU
Si no va a llegar no acepte la solicitud por favor,N
Viaje agradable,P
No voy,NEU
El tiempo de espera de la solicitud ha caducado,N
Cancelada por Call Center.,N
Puntualidad,NEU
"Atento y cordial, Viaje agradable, Puntualidad",P
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P
no llego a la ubicación ,N
Ttttggg,NEU
Disculpa,NEU
Error al solicitar el taxi,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Nunca llegó,N
Puntualidad,NEU
Cancelo,N
El taxímetro estaba dañado ,N
Cancelada por Call Center.,N
Exceso de precio  ,N
Muy bien,P
Disculpe ya no va a venir???,N
Hhhbhjj,NEU
Mala actitud Actitud desagradable,N
Jamás llego el taxi Nunca llegó,N
Muy mala experiencia pesimo servicio y poca calidad humana  ,N
no llego la unidad ,N
Nunca llegó,N
Atento y cordial,P
Gracias,P
Puntualidad,NEU
Actitud desagradable,N
mal servicio ,N
bsbdndnsnsnsnsns,NEU
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P
muchas gracias y disculpe ,P
Viaje agradable,P
Se fue a otro lado Nunca llegó,N
Ok ,P
Mal servicio,N
Amigo no encuentro mis llaves.,NEU
Muchas gracias ya no,NEU
"Viaje agradable, Puntualidad",P
no llegó otra unidad,N
Pésimo servicio Llevó otro cliente,N
No llego y llame es un malcriado,N
me equivoqué ,N
Viaje agradable,P
Cancelada por Call Center.,N
Jsjejsjwjwjwjwjqjwjwne,NEU
Vale tres atados como taxi.. Es el peor taxi que me ha llevado... Me dejo botado... Aplique la sanción adecuada ,N
Canceló solicitud,N
UNunca llegó,N
Ya tengo otro unidad gracias,NEU
No llego  ,N
Amigo discukpe estoy en otra direccion  ,NEU
Fui en otra unidad,NEU
Viaje agradable,P
Viaje agradable,P
Llevó otro cliente,N
Ya llego otro taxi,NEU
Atento y cordial,P
Atento y cordial,P
Me canceló,N
Pésimo servicio por favor sancionar,N
Canceló solicitud,N
👍 ,P
No cumplió con la carrera,N
Mala atención no trabaje si no tiene permiso de circulación,N
Canceló solicitud,N
No gracias,N
"Canceló la carrera sin más, pésimo servicio",N
Pésimo servicio,N
No pudo llegar con la ubicación que marca el gps,N
Canceló solicitud,N
Cancelada por Call Center.,N
Viaje agradable,P
Atento y cordial,P
Mé quedé,NEU
Atento y cordial,P
también se paso de verga,N
Fallido ,N
No vino,N
Mal servicioNunca llegó,N
No ,N
Actitud desagradable,N
"Atento y cordial, Viaje agradable, Puntualidad, Servicio de llamadas",P
Buena ,P
Nunca llegó,N
Pésimo servicioNunca llegó,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Nunca llegó,N
Precio exagerado  ,N
No llego rápido  ,N
Kycoyxuf7,NEU
Buena.  ,P
No sllego,N
disculpe ya no deseo la unidad,NEU
"Me quedare en casa, lo siento ",NEU
lo siento alguien equivocado lo pidió ,NEU
Bien ,P
"Velocidad excesiva, Canceló solicitud",N
No llegó ,N
Nunca l go ,N
"Me tarde demasiado yo, disculpe",N
la unidad no llegó y no pude coger el taxi ,N
Canceló solicitud,N
Necesitaba urgente,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Viaje agradable,P
Atento y cordial,P
Direccion equivocada,N
Atento y cordial,P
Puntualidad,NEU
"Atento y cordial, Puntualidad",P
"Que paso, con la solicitud de la unidad",NEU
Ya,NEU
Nunca llegó,N
Pesimo servicio cancelo la solisitud,N
Demasiado lejos para el tiempo reportado ,N
Incumplimiento,N
Gracias,P
mal ubicación del área,N
Muy buena  ,P
Ok,P
"Atento y cordial, Puntualidad",P
"Guapo el conductor Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P
Nunca llegó Nunca llegó,N
Capacidad de Personas,NEU
Canceló el taxi,N
Muy bueno ,P
"Atento y cordial, Viaje agradable",P
Llevó otro cliente,N
está demasiado lejos ,N
Cancelada por Call Center.,N
Atento y cordial,P
Atento y cordial,P
Super che veré el señor conducro,P
"Ya llego uno, gracias.",NEU
Canceló solicitud,N
Puntualidad,NEU
Gracias,P
Atento y cordial,P
Una falta de respeto,N
Actitud desagradable,N
Bbhhhhhh,NEU
Cancelada por Call Center.,NEU
Nunca llegó,N
Presentación personal,N
Viaje agradable,N
Si llegó,P
Que pasó amigo,N
L ,NEU
Dndndnd,NEU
Llevó otro cliente,N
Atento y cordial,P
Zzzz,NEU
😔 ,N
Ñññpñp,NEU
Actitud desagradable,N
Kbron,N
Nunca llegó,N
Puntualidad,NEU
"ExcelenteAtento y cordial, Puntualidad",P
Viaje agradable,P
Puntualidad,NEU
Pide más tiempo ,N
Canceló solicitud,N
No quiso hacer el servicio,N
Nunca llegó,N
Cambio de dirección,N
Me falta tiempo,NEU
Excelente  ,P
No voy a utilizar el taxi en este momento muchas gracias,NEU
Disculpe gracias ,NEU
Viaje agradable,P
Puntualidad,NEU
Se me presento un inconveniente y no podré salir este momento,NEU
Hhhhh,NEU
Atento y cordial,P
"Mal atención no lo recomiendo, el señor muy apurado y ocupando el teléfono mientras maneja ",N
Ya aborde otro taxi ,NEU
No llegó Nunca llegó,N
Hablé serio,N
Tenia prisa,NEU
No viene y deja esperando al usuario ,N
Viaje agradable,P
Nunca llegó,N
"Actitud desagradable, Cobro inadecuado",N
Canceló solicitud,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Pésimo servicio 😡,N
"Viaje agradable, Atento y cordial, Puntualidad",P
no llego no llego ,N
"Atento y cordial, Viaje agradable, Puntualidad",P
JsjdjdVehículo incorrecto,NEU
Finalista ,NEU
Estaba con otra carrera  ,NEU
Llego otra unidad que mintió que era él y no me di cuenta,NEU
Nuy ,NEU
"Atento y cordial, Puntualidad",P
No se para que les dan permisos de trabajar si no saben llegar a una dirección y la cancelan y hacen,N
No llego,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Actitud desagradable,N
Está muy lejos la unidad,N
Tardo mucho tiempo  ,N
Ninguno,NEU
Q pasó?,N
Calle no igresada,NEU
Buen servicio gracias Puntualidad,P
Atento y cordial,P
Viaje agradable,P
Perdón,NEU
Maleante quería cobrar mas,N
Muy mala el taxi se fue sin explicación ,N
Tardó mucho,N
Mal servicio del sr m cancel la unidad,N
No me llevo,N
No llego la unidad Canceló solicitud,N
Cancelo la carrera el chofer,N
"Lo cancelo, ocurrió un imprevisto",N
Exc,NEU
"Atento y cordial, Viaje agradable, Puntualidad",P
"Atento y cordial, Viaje agradable, Puntualidad",P
"Atento y cordial, Viaje agradable, Puntualidad",P
No ,NEU
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P
Gracias,P
Atento y cordial,P
Se me olvidó mi celular en el taxi y al ratito q me baje de la unidad llame y ya lo sabían apagado xfavor comunicarme con mi l chófer de la unidad ,N
Bien Viaje agradable,P
Atento y cordial,P
Atento y cordial,P
ya no necesito el taxi ,NEU
Atento y cordial,P
El señor tuvo una pésima actitud y no me dejó en el lugar correcto Actitud desagradable,N
no llegó no,N
Atento y cordial,P
"Atento y cordial, Viaje agradable, Puntualidad",P
Puntualidad,NEU
Viaje agradable,P
"Viaje agradable, Puntualidad",P
Buena,P
demasiado lejos ,N
Atento y cordial,P
no lkegooooooo,N
Muy lento ,N
No vinoe hizo esperar yno canceló a tiempo,N
Viaje agradable,P
"Atento y cordial, Viaje agradable, Puntualidad",P
Cancelada por Call Center.,N
Ok ,P
Pésimo servicio,N
Canceló solicitud,N
Atento y cordial,P
Atento y cordial,P
Mal,N
OkPuntualidad,P
Viaje agradable,P
Me camcelo la solicitud,N
Ya no lo necesito  ,NEU
Actitud desagradable,N
No llego en el tiempo ,N
Me hozo esperar tanto y no llego,N
Otro taxo,NEU
Atento y cordial,P
Viaje agradable,P
"Atento y cordial, Viaje agradable, Puntualidad",P
Ssßsssssss,NEU
mal servicio ,N
Ya llegó otra unidad más temprano,NEU
Mal servicio ,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Gracias Atento y cordial,P
Atento y cordial,P
Atento y cordial,P
No vino ,N
Puntualidad,NEU
"Viaje agradable, Puntualidad",P
Emergencia personal,NEU
no llego la unidad el sistema mando a otra ubicación ,N
Puntualidad,NEU
Llegó un familiar  ,NEU
Puntualidad,NEU
Otro taxi,N
Puntualidad,NEU
No llego,N
nunca llego,N
"Atento y cordial, Viaje agradable, Puntualidad",P
"Canceló solicitud, Nunca llegó",N
Yttyyy,NEU
necesito otro,NEU
Disculpa ya me recibieron,NEU
Cancelada por Call Center.,N
Pésimo servicio,N
"Atento y cordial, Puntualidad",P
La unidad se encuentra demasiado lejos,N
Mal servicio,N
Canceló solicitud,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Atento y cordial,P
"Excelente servicio. Muy educadoAtento y cordial, Viaje agradable, Puntualidad",P
Cancelada por Call Center.,N
Gracias ,P
El taxi si llego,P
Atento y cordial,P
ya conseguí unidad ,NEU
Nunca llego la unidadNunca llegó,N
Tuve que posponer mi salida,NEU
100,NEU
Atento y cordial,P
"Atento y cordial, Puntualidad",P
Aborde otra unidad ,NEU
El taxi está demasiado lejos y aún así me manda solicitud. Solo quiere ir al centro. Que pésimo servicio,NEU
Viaje agradable,P
mal ubicación ,N
Pésimo servicio,N
Me perece pésimo que acepten la carrera y después la cancelen no dan un buen servicio,N
Dice que a tres minutos y está demasiado lejos,N
jdjdjdjddjdjdjdjd,NEU
Encontré uno,NEU
Llevó otro cliente,N
Puntualidad,NEU
Ya no,NEU
Atento y cordial,P
Se tomó otra unidad,NEU
"Atento y cordial, Viaje agradable, Puntualidad",P
ya no nesecito.,NEU
Atento y cordial,P
la unidad cancelo,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Atento y cordial,P
No tiene vuelto Actitud desagradable,N
Ya no necesito,NEU
Tngo prisa,NEU
Nunca llegó,N
Pesimo atenccion,N
"Atento y cordial, Viaje agradable, Puntualidad",P
Cobro inadecuado,N
Cancelada por Call Center.,N
No llego Nunca llegó,N
No puedo irme aun,NEU
Cancelada por Call Center.,N
Bien ,P
La cliente se fue,N
Nunca llego,N
No llego,N
Me dejó mal y me faltó el respeto ,N
Atento y cordial,P
Actitud desagradable,N
Canceló solicitud,N
No pude ir,N
Puntualidad,NEU
Error pedi mal,NEU
Puntualidad,NEU
Reunión de trabajo,NEU
Atento y cordial,P
Viaje agradable,P
No era la dirección que marque  ,N
salí muy tarde! lo siento ,NEU
"Excelente servicio. Atento y cordial, Viaje agradable, Puntualidad",P
"Atento y cordial, Puntualidad",P
"Atento y cordial, Viaje agradable, Puntualidad, Servicio de llamadas",P
Puntualidad,NEU
No hizo la encomienda ,N
Atento y cordial,P
Usuarios cancela unidad,NEU
Viaje agradable,P
