comentario,valor,equivalente
El señor conductor llegó con un acompañante y no cumplió con el servicio,N,0
Nada,NEU,1
Hhug,NEU,1
Actitud desagradable,N,0
Nunca llegó ,N,0
Cancelo la carrera :/,N,0
Ya no necesitaba,NEU,1
Nunca llego Nunca llegó,N,0
Viaje agradable,P,2
nunca llego y lo espere más tiempo ,N,0
Yo me tarde. Lo siento,NEU,1
cancelación de pedido,N,0
Nunca llegó,N,0
Canceló solicitud,N,0
Servicio de llamadas,N,0
Puntualidad,N,0
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P,2
Excelente servicio ,P,2
Ok,P,2
Q paso?,NEU,1
Bolivar bailón y Ramón burneo,NEU,1
no llego la unidad en el tiempo ,N,0
No llego,N,0
Me llamo porq me quiere cobrar 4$ desde la Lorena hasta la rio Zamora.. Por la Cava.. Fatal,N,0
Nunca llegó,N,0
Nqbwbbe ,NEU,1
Esperando,N,0
Llegomotro,NEU,1
Me equivoqué de dirección,NEU,1
Esperándolo y nada,N,0
Disculpe ya salio ,NEU,1
No quería poner taxímetro Actitud desagradable,N,0
"Mal estado de vehículo, Uso teléfono hablo/chat",N,0
Muy bien ,P,2
Puntualidad,NEU,1
Amigo no se malito no me cancele,N,0
Mala atención,N,0
cobro muy caro abusivamente,N,0
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P,2
Malo ,N,0
Ok,P,2
Atento y cordial,P,2
No llego ,N,0
Servicio de llamadas,NEU,1
Cancelar,N,0
Excelente,P,2
Viaje agradable,P,2
Venga,NEU,1
Canceló solicitud,N,0
Bueno ,P,2
Pésimo servicio esperando y me cancela,N,0
Buen trato,P,2
Atento y cordial,P,2
No pude llegar,NEU,1
Eso es una falta de respeto,N,0
Cancelo,N,0
Atento y cordial,P,2
Mal la direccion,NEU,1
Actitud desagradable,N,0
Nunca llego ,N,0
NonllegoNunca llegó,N,0
no llego pronto ,N,0
Viaje agradable,P,2
Gracias,P,2
no llego a su destino ,N,0
Canceló solicitud,N,0
"Mal trato al pasajero , exceso de velocidad ,abusivo para cobrar , cobra demás de lo que es",N,0
Buena ,P,2
Atento y cordial,P,2
Ya no lo necesito,NEU,1
"Atento y cordial, Viaje agradable, Puntualidad",P,2
"Puntualidad, Atento y cordial, Viaje agradable",P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Atento y cordial,P,2
Atento y cordial,P,2
No llegó,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
ya no saldré,NEU,1
no deseamos,NEU,1
Mal,N,0
Atento y cordial,P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Excelente ,P,2
Puntualidad,NEU,1
Nunca llegó,P,2
Puntualidad,NEU,1
Tiempo mas de 8 minutos. Esperé pero nadie llegó. Tuve que coquer otro taxi que pasava alli vacio. Servicio pesimo. Aplicacion complicada de usar. Prefiero llamar con telefono.,N,0
 no llego al lugar ,N,0
Pésimo servicio,N,0
Nunca llegó,N,0
Viaje agradable,P,2
Ya no necesito gracias,NEU,1
Atento y cordial,P,2
"El cliente, ya no desea. ",NEU,1
😤,N,0
No se ubica en la dirección,N,0
No valeCanceló solicitud,N,0
HP,N,0
Llevó otro cliente,N,0
Evitar el claxon,N,0
Urgencia,NEU,1
tiempo de espera ,NEU,1
le llamamos varia veces no contestoLlevó otro cliente,N,0
Atento y cordial,P,2
No hizo nada ,N,0
Nunca llegó,N,0
"Atento y cordial, Viaje agradable",P,2
Se demora mucho,N,0
Puntualidad,NEU,1
Presentación personal,NEU,1
Puntualidad,NEU,1
"Canceló solicitud, Nunca llegó",N,0
Nunca llegó,N,0
L ,NEU,1
Excelente  ,P,2
Atento y cordial,P,2
Ok ,P,2
Nunca llegó,NEU,1
Estaba lejos de la ubicación  ,N,0
BuenoAtento y cordial,N,0
GPS mal,N,0
Servicio de llamadas,NEU,1
Se apagó el celular,NEU,1
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P,2
Llevó otro cliente,N,0
Mal servicio,N,0
Bien  ,P,2
Muchas gracias por su comprension,P,2
Oteo,NEU,1
No llego,N,0
Mal servicio,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Puntualidad,NEU,1
No es la direccion,N,0
Ok ,P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
las calles fueron dadas por error,NEU,1
Ya pedimos otro taxi,NEU,1
"Viaje agradable, Puntualidad",P,2
Muy buena  ,P,2
Si no va a venir para que ofre e,N,0
Cancelada por Call Center.,N,0
Gracias ,P,2
Hsjeje,NEU,1
Puntualidad,NEU,1
Nunca llegó,N,0
Viaje agradable,P,2
Viaje agradable,P,2
Actitud desagradable,N,0
No cumplió,N,0
Pero lo estoy esperando,N,0
Servicio de llamadas,NEU,1
Nunca llegó,N,0
Cancelada por Call Center.,N,0
Ninguno ,NEU,1
Actitud desagradable,N,0
No seda,N,0
Puntualidad,NEU,1
Buen servicio,P,2
Pésima Canceló solicitud,N,0
Acepta la carrera pero al llegar al redondel coge otra carrera y se retira eso no está bien si no va a cumplir qué no acepte la carrera ,N,0
Puntualidad,NEU,1
Muy malo ,N,0
Eramos 4 personas y nos quizo llevar ,N,0
Lllame y no contestó Nunca llegó,N,0
no llego.....,N,0
Pésimo servicio,N,0
Cancela sin motivo,N,0
"Atento y cordial, Viaje agradable, Puntualidad, Servicio de llamadas",P,2
Puntual ,NEU,1
Esta en otra ruta. ,N,0
No llegoNunca llegó,N,0
Se molesta porque no se orienta en la ubicación,N,0
Pésimo servicio  acepta para luego cancelar,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Nunca ñlego,N,0
Me equivoque de función necesitaba deliver,NEU,1
Puntualidad,NEU,1
Nunca llegó,N,0
Nunca llego mal servicio,N,0
"En la cayambeAtento y cordial, Viaje agradable",P,2
No llegó,N,0
Nunca llegó,N,0
Llevó otro cliente,N,0
Haces perder tiempo,N,0
Mal pésimo no lo recomiendo  ,N,0
Nunca llegó,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Pendejos no hagan perder el tiempo,N,0
Pésimo servicio,N,0
Nunca llegó,N,0
Atento y cordial,P,2
Actitud desagradable,N,0
Mal conductor,N,0
El gps de la aplicación esta fallando ,NEU,1
Nunca llegó,N,0
"Muy buen profesional, gracias.",P,2
Bien,P,2
Muy  bien,P,2
Puntualidad,NEU,1
Atento y cordial,P,2
No,NEU,1
Canceló el pedido,N,0
N9 me quiso hacer la carrera,N,0
No sabe ma dirección Nunca llegó,N,0
Ya llegó otra unidad disculpe,NEU,1
Nunca llego,N,0
Puntualidad,NEU,1
Nunca llegó,N,0
Atento y cordial,P,2
Nunca llegó,N,0
me vinieron a recoger ,NEU,1
Ya no deseo mil disculpas,NEU,1
otro motivo ,NEU,1
ehehdhejsjdjdjdjdjdjd,NEU,1
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P,2
"ExcelenteAtento y cordial, Puntualidad, Viaje agradable",P,2
Puntualidad,NEU,1
No quiero taxi,N,0
"literalmente 1 hora esperando bajo la lluvia, nunca vino y se hizo el loco, pésimo servicio.",N,0
no llegó no monopolio,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Ubicación equivocado,NEU,1
toque de queda,NEU,1
Servicio de llamadas,NEU,1
Cancelo,N,0
Uuuyyu,NEU,1
Mal servicio,N,0
Disculpa ,NEU,1
Pésimo servicio,N,0
Puntualidad,NEU,1
Acepto pero nunca llego,P,2
No llego,N,0
Se apagó mi celular,NEU,1
Puntualidad,NEU,1
Ni llego el taxi ,N,0
El señor taxista comentó que le salió mal la ubicación,N,0
Pesimo,N,0
Atento y cordial,P,2
Canceló solicitud,N,0
En el tarifario desde la pasos kanki y hualparrimachi hasta el IC norte de la Melchor salio que la carrera tenia un costo de 53 bs,N,0
"Actitud desagradable, Nunca llegó",N,0
Excelente,P,2
Llevó otro cliente,N,0
Nunca llegó,N,0
"Atento y cordial, Puntualidad",P,2
Direccion incorrecta,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Gracias,P,2
Atento y cordial,P,2
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P,2
Excelente servicio,P,2
Muy atento Puntualidad,P,2
"Atento y cordial, Puntualidad",P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Atento y cordial,P,2
me equivoqué de ubicación ,NEU,1
No yega,N,0
cancelada,N,0
Puntualidad,NEU,1
Me subi en el taxi equivocado ,NEU,1
No acepte si no va a venir,N,0
Nsndjdjfjfjfjf,NEU,1
Puntualidad,NEU,1
Muy lejos,N,0
se canceló la salida ,NEU,1
Disculpe ya no Atento y cordial,NEU,1
Nunca llegó,N,0
buen servicio ,P,2
Atento y cordial,P,2
no está actualizado ,NEU,1
Jdjd,NEU,1
No llego,N,0
Puntualidad,NEU,1
Servicio de llamadas,NEU,1
 No nos quiso llevar Actitud desagradable,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
No llego,N,0
"Me dijeron 2 minutos, espere 5 y nunca llego ni me llamó Nunca llegó",N,0
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P,2
Nunca llegó,N,0
Atento y cordial,P,2
Viaje agradable,P,2
Nunca llegó,N,0
Nos rayamos con la hora,NEU,1
Si no va a llegar no acepte la solicitud por favor,N,0
Viaje agradable,P,2
No voy,NEU,1
El tiempo de espera de la solicitud ha caducado,N,0
Cancelada por Call Center.,N,0
Puntualidad,NEU,1
"Atento y cordial, Viaje agradable, Puntualidad",P,2
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P,2
no llego a la ubicación ,N,0
Ttttggg,NEU,1
Disculpa,NEU,1
Error al solicitar el taxi,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Nunca llegó,N,0
Puntualidad,NEU,1
Cancelo,N,0
El taxímetro estaba dañado ,N,0
Cancelada por Call Center.,N,0
Exceso de precio  ,N,0
Muy bien,P,2
Disculpe ya no va a venir???,N,0
Hhhbhjj,NEU,1
Mala actitud Actitud desagradable,N,0
Jamás llego el taxi Nunca llegó,N,0
Muy mala experiencia pesimo servicio y poca calidad humana  ,N,0
no llego la unidad ,N,0
Nunca llegó,N,0
Atento y cordial,P,2
Gracias,P,2
Puntualidad,NEU,1
Actitud desagradable,N,0
mal servicio ,N,0
bsbdndnsnsnsnsns,NEU,1
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P,2
muchas gracias y disculpe ,P,2
Viaje agradable,P,2
Se fue a otro lado Nunca llegó,N,0
Ok ,P,2
Mal servicio,N,0
Amigo no encuentro mis llaves.,NEU,1
Muchas gracias ya no,NEU,1
"Viaje agradable, Puntualidad",P,2
no llegó otra unidad,N,0
Pésimo servicio Llevó otro cliente,N,0
No llego y llame es un malcriado,N,0
me equivoqué ,N,0
Viaje agradable,P,2
Cancelada por Call Center.,N,0
Jsjejsjwjwjwjwjqjwjwne,NEU,1
Vale tres atados como taxi.. Es el peor taxi que me ha llevado... Me dejo botado... Aplique la sanción adecuada ,N,0
Canceló solicitud,N,0
UNunca llegó,N,0
Ya tengo otro unidad gracias,NEU,1
No llego  ,N,0
Amigo discukpe estoy en otra direccion  ,NEU,1
Fui en otra unidad,NEU,1
Viaje agradable,P,2
Viaje agradable,P,2
Llevó otro cliente,N,0
Ya llego otro taxi,NEU,1
Atento y cordial,P,2
Atento y cordial,P,2
Me canceló,N,0
Pésimo servicio por favor sancionar,N,0
Canceló solicitud,N,0
👍 ,P,2
No cumplió con la carrera,N,0
Mala atención no trabaje si no tiene permiso de circulación,N,0
Canceló solicitud,N,0
No gracias,N,0
"Canceló la carrera sin más, pésimo servicio",N,0
Pésimo servicio,N,0
No pudo llegar con la ubicación que marca el gps,N,0
Canceló solicitud,N,0
Cancelada por Call Center.,N,0
Viaje agradable,P,2
Atento y cordial,P,2
Mé quedé,NEU,1
Atento y cordial,P,2
también se paso de verga,N,0
Fallido ,N,0
No vino,N,0
Mal servicioNunca llegó,N,0
No ,N,0
Actitud desagradable,N,0
"Atento y cordial, Viaje agradable, Puntualidad, Servicio de llamadas",P,2
Buena ,P,2
Nunca llegó,N,0
Pésimo servicioNunca llegó,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Nunca llegó,N,0
Precio exagerado  ,N,0
No llego rápido  ,N,0
Kycoyxuf7,NEU,1
Buena.  ,P,2
No sllego,N,0
disculpe ya no deseo la unidad,NEU,1
"Me quedare en casa, lo siento ",NEU,1
lo siento alguien equivocado lo pidió ,NEU,1
Bien ,P,2
"Velocidad excesiva, Canceló solicitud",N,0
No llegó ,N,0
Nunca l go ,N,0
"Me tarde demasiado yo, disculpe",N,0
la unidad no llegó y no pude coger el taxi ,N,0
Canceló solicitud,N,0
Necesitaba urgente,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Viaje agradable,P,2
Atento y cordial,P,2
Direccion equivocada,N,0
Atento y cordial,P,2
Puntualidad,NEU,1
"Atento y cordial, Puntualidad",P,2
"Que paso, con la solicitud de la unidad",NEU,1
Ya,NEU,1
Nunca llegó,N,0
Pesimo servicio cancelo la solisitud,N,0
Demasiado lejos para el tiempo reportado ,N,0
Incumplimiento,N,0
Gracias,P,2
mal ubicación del área,N,0
Muy buena  ,P,2
Ok,P,2
"Atento y cordial, Puntualidad",P,2
"Guapo el conductor Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P,2
Nunca llegó Nunca llegó,N,0
Capacidad de Personas,NEU,1
Canceló el taxi,N,0
Muy bueno ,P,2
"Atento y cordial, Viaje agradable",P,2
Llevó otro cliente,N,0
está demasiado lejos ,N,0
Cancelada por Call Center.,N,0
Atento y cordial,P,2
Atento y cordial,P,2
Super che veré el señor conducro,P,2
"Ya llego uno, gracias.",NEU,1
Canceló solicitud,N,0
Puntualidad,NEU,1
Gracias,P,2
Atento y cordial,P,2
Una falta de respeto,N,0
Actitud desagradable,N,0
Bbhhhhhh,NEU,1
Cancelada por Call Center.,NEU,1
Nunca llegó,N,0
Presentación personal,N,0
Viaje agradable,N,0
Si llegó,P,2
Que pasó amigo,N,0
L ,NEU,1
Dndndnd,NEU,1
Llevó otro cliente,N,0
Atento y cordial,P,2
Zzzz,NEU,1
😔 ,N,0
Ñññpñp,NEU,1
Actitud desagradable,N,0
Kbron,N,0
Nunca llegó,N,0
Puntualidad,NEU,1
"ExcelenteAtento y cordial, Puntualidad",P,2
Viaje agradable,P,2
Puntualidad,NEU,1
Pide más tiempo ,N,0
Canceló solicitud,N,0
No quiso hacer el servicio,N,0
Nunca llegó,N,0
Cambio de dirección,N,0
Me falta tiempo,NEU,1
Excelente  ,P,2
No voy a utilizar el taxi en este momento muchas gracias,NEU,1
Disculpe gracias ,NEU,1
Viaje agradable,P,2
Puntualidad,NEU,1
Se me presento un inconveniente y no podré salir este momento,NEU,1
Hhhhh,NEU,1
Atento y cordial,P,2
"Mal atención no lo recomiendo, el señor muy apurado y ocupando el teléfono mientras maneja ",N,0
Ya aborde otro taxi ,NEU,1
No llegó Nunca llegó,N,0
Hablé serio,N,0
Tenia prisa,NEU,1
No viene y deja esperando al usuario ,N,0
Viaje agradable,P,2
Nunca llegó,N,0
"Actitud desagradable, Cobro inadecuado",N,0
Canceló solicitud,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Pésimo servicio 😡,N,0
"Viaje agradable, Atento y cordial, Puntualidad",P,2
no llego no llego ,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
JsjdjdVehículo incorrecto,NEU,1
Finalista ,NEU,1
Estaba con otra carrera  ,NEU,1
Llego otra unidad que mintió que era él y no me di cuenta,NEU,1
Nuy ,NEU,1
"Atento y cordial, Puntualidad",P,2
No se para que les dan permisos de trabajar si no saben llegar a una dirección y la cancelan y hacen,N,0
No llego,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Actitud desagradable,N,0
Está muy lejos la unidad,N,0
Tardo mucho tiempo  ,N,0
Ninguno,NEU,1
Q pasó?,N,0
Calle no igresada,NEU,1
Buen servicio gracias Puntualidad,P,2
Atento y cordial,P,2
Viaje agradable,P,2
Perdón,NEU,1
Maleante quería cobrar mas,N,0
Muy mala el taxi se fue sin explicación ,N,0
Tardó mucho,N,0
Mal servicio del sr m cancel la unidad,N,0
No me llevo,N,0
No llego la unidad Canceló solicitud,N,0
Cancelo la carrera el chofer,N,0
"Lo cancelo, ocurrió un imprevisto",N,0
Exc,NEU,1
"Atento y cordial, Viaje agradable, Puntualidad",P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
No ,NEU,1
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P,2
Gracias,P,2
Atento y cordial,P,2
Se me olvidó mi celular en el taxi y al ratito q me baje de la unidad llame y ya lo sabían apagado xfavor comunicarme con mi l chófer de la unidad ,N,0
Bien Viaje agradable,P,2
Atento y cordial,P,2
Atento y cordial,P,2
ya no necesito el taxi ,NEU,1
Atento y cordial,P,2
El señor tuvo una pésima actitud y no me dejó en el lugar correcto Actitud desagradable,N,0
no llegó no,N,0
Atento y cordial,P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Puntualidad,NEU,1
Viaje agradable,P,2
"Viaje agradable, Puntualidad",P,2
Buena,P,2
demasiado lejos ,N,0
Atento y cordial,P,2
no lkegooooooo,N,0
Muy lento ,N,0
No vinoe hizo esperar yno canceló a tiempo,N,0
Viaje agradable,P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Cancelada por Call Center.,N,0
Ok ,P,2
Pésimo servicio,N,0
Canceló solicitud,N,0
Atento y cordial,P,2
Atento y cordial,P,2
Mal,N,0
OkPuntualidad,P,2
Viaje agradable,P,2
Me camcelo la solicitud,N,0
Ya no lo necesito  ,NEU,1
Actitud desagradable,N,0
No llego en el tiempo ,N,0
Me hozo esperar tanto y no llego,N,0
Otro taxo,NEU,1
Atento y cordial,P,2
Viaje agradable,P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Ssßsssssss,NEU,1
mal servicio ,N,0
Ya llegó otra unidad más temprano,NEU,1
Mal servicio ,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Gracias Atento y cordial,P,2
Atento y cordial,P,2
Atento y cordial,P,2
No vino ,N,0
Puntualidad,NEU,1
"Viaje agradable, Puntualidad",P,2
Emergencia personal,NEU,1
no llego la unidad el sistema mando a otra ubicación ,N,0
Puntualidad,NEU,1
Llegó un familiar  ,NEU,1
Puntualidad,NEU,1
Otro taxi,N,0
Puntualidad,NEU,1
No llego,N,0
nunca llego,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
"Canceló solicitud, Nunca llegó",N,0
Yttyyy,NEU,1
necesito otro,NEU,1
Disculpa ya me recibieron,NEU,1
Cancelada por Call Center.,N,0
Pésimo servicio,N,0
"Atento y cordial, Puntualidad",P,2
La unidad se encuentra demasiado lejos,N,0
Mal servicio,N,0
Canceló solicitud,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Atento y cordial,P,2
"Excelente servicio. Muy educadoAtento y cordial, Viaje agradable, Puntualidad",P,2
Cancelada por Call Center.,N,0
Gracias ,P,2
El taxi si llego,P,2
Atento y cordial,P,2
ya conseguí unidad ,NEU,1
Nunca llego la unidadNunca llegó,N,0
Tuve que posponer mi salida,NEU,1
100,NEU,1
Atento y cordial,P,2
"Atento y cordial, Puntualidad",P,2
Aborde otra unidad ,NEU,1
El taxi está demasiado lejos y aún así me manda solicitud. Solo quiere ir al centro. Que pésimo servicio,NEU,1
Viaje agradable,P,2
mal ubicación ,N,0
Pésimo servicio,N,0
Me perece pésimo que acepten la carrera y después la cancelen no dan un buen servicio,N,0
Dice que a tres minutos y está demasiado lejos,N,0
jdjdjdjddjdjdjdjd,NEU,1
Encontré uno,NEU,1
Llevó otro cliente,N,0
Puntualidad,NEU,1
Ya no,NEU,1
Atento y cordial,P,2
Se tomó otra unidad,NEU,1
"Atento y cordial, Viaje agradable, Puntualidad",P,2
ya no nesecito.,NEU,1
Atento y cordial,P,2
la unidad cancelo,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Atento y cordial,P,2
No tiene vuelto Actitud desagradable,N,0
Ya no necesito,NEU,1
Tngo prisa,NEU,1
Nunca llegó,N,0
Pesimo atenccion,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Cobro inadecuado,N,0
Cancelada por Call Center.,N,0
No llego Nunca llegó,N,0
No puedo irme aun,NEU,1
Cancelada por Call Center.,N,0
Bien ,P,2
La cliente se fue,N,0
Nunca llego,N,0
No llego,N,0
Me dejó mal y me faltó el respeto ,N,0
Atento y cordial,P,2
Actitud desagradable,N,0
Canceló solicitud,N,0
No pude ir,N,0
Puntualidad,NEU,1
Error pedi mal,NEU,1
Puntualidad,NEU,1
Reunión de trabajo,NEU,1
Atento y cordial,P,2
Viaje agradable,P,2
No era la dirección que marque  ,N,0
salí muy tarde! lo siento ,NEU,1
"Excelente servicio. Atento y cordial, Viaje agradable, Puntualidad",P,2
"Atento y cordial, Puntualidad",P,2
"Atento y cordial, Viaje agradable, Puntualidad, Servicio de llamadas",P,2
Puntualidad,NEU,1
No hizo la encomienda ,N,0
Atento y cordial,P,2
Usuarios cancela unidad,NEU,1
Viaje agradable,P,2
Mal servicio  no cumple ni tampoco tiene la paciencia en colaborar mientras uno siempre utiliza.,N,0
Malo  ,N,0
